,Date,Open,High,Close,Adjusted Close,Volume,Dividends
826,2021-08-20,147.44,148.5,148.19,146.897156681658,60549630.0,0.0
827,2021-08-23,148.31,150.19,149.71,148.403895855395,60131810.0,0.0
828,2021-08-24,149.45,150.86,149.62,148.314681035897,48606428.0,0.0
829,2021-08-25,149.81,150.32,148.36,147.065673562931,58991297.0,0.0
830,2021-08-26,148.35,149.12,147.54,146.252827429731,48597195.0,0.0
831,2021-08-27,147.48,148.75,148.6,147.303579748258,55802388.0,0.0
832,2021-08-30,149.0,153.49,153.12,151.784146238582,90956723.0,0.0
833,2021-08-31,152.66,152.8,151.83,150.505400492449,86453117.0,0.0
834,2021-09-01,152.83,154.98,152.51,151.179468017542,80313711.0,0.0
835,2021-09-02,153.87,154.72,153.65,152.309522397845,71171317.0,0.0
836,2021-09-03,153.76,154.63,154.3,152.953851649772,57866066.0,0.0
837,2021-09-07,154.97,157.26,156.69,155.32300074532,82278261.0,0.0
838,2021-09-08,156.98,157.04,155.11,153.756785025251,74420207.0,0.0
839,2021-09-09,155.49,156.11,154.07,152.725858222167,57305730.0,0.0
840,2021-09-10,155.0,155.48,148.97,147.67035178397,140893235.0,0.0
841,2021-09-13,150.63,151.42,149.55,148.245291731844,102404329.0,0.0
842,2021-09-14,150.35,151.07,148.12,146.827767377604,109296295.0,0.0
843,2021-09-15,148.56,149.44,149.03,147.729828330302,83281315.0,0.0
844,2021-09-16,148.44,148.97,148.79,147.491922144975,68034149.0,0.0
845,2021-09-17,148.82,148.82,146.06,144.785739286881,129868824.0,0.0
846,2021-09-20,143.8,144.84,142.94,141.692958877631,123478863.0,0.0
847,2021-09-21,143.93,144.6,143.43,142.178684006007,75833962.0,0.0
848,2021-09-22,144.45,146.43,145.85,144.57757137472,76404341.0,0.0
849,2021-09-23,146.65,147.08,146.83,145.549021631472,64838170.0,0.0
850,2021-09-24,145.66,147.4701,146.92,145.638236450969,53477869.0,0.0
851,2021-09-27,145.47,145.96,145.37,144.101759004066,74150729.0,0.0
852,2021-09-28,143.25,144.75,141.91,140.67194483227,108972340.0,0.0
853,2021-09-29,142.47,144.45,142.83,141.58391854269,74602044.0,0.0
854,2021-09-30,143.66,144.378,141.5,140.265521765669,89056664.0,0.0
855,2021-10-01,141.9,142.92,142.65,141.405488903694,94639581.0,0.0
856,2021-10-04,141.76,142.21,139.14,137.926110943288,98322008.0,0.0
857,2021-10-05,139.49,142.24,141.11,139.878924214513,80861062.0,0.0
858,2021-10-06,139.47,142.15,142.0,140.761159651767,83221119.0,0.0
859,2021-10-07,143.06,144.215,143.29,142.039905397899,61732656.0,0.0
860,2021-10-08,144.03,144.1781,142.9,141.653307846743,58773155.0,0.0
861,2021-10-11,142.27,144.81,142.81,141.564093027246,64452219.0,0.0
862,2021-10-12,143.23,143.25,141.51,140.275434523391,73035859.0,0.0
863,2021-10-13,141.235,141.4,140.91,139.680669060074,78762721.0,0.0
864,2021-10-14,142.11,143.88,143.76,142.505805010831,69907100.0,0.0
865,2021-10-15,143.77,144.895,144.84,143.576382844803,67940334.0,0.0
866,2021-10-18,143.445,146.84,146.55,145.271464415257,85589175.0,0.0
867,2021-10-19,147.01,149.17,148.76,147.462183871809,76378894.0,0.0
868,2021-10-20,148.7,149.7539,149.26,147.957821757907,58418788.0,0.0
869,2021-10-21,148.81,149.64,149.48,148.17590242779,61420990.0,0.0
870,2021-10-22,149.69,150.18,148.69,147.392794567755,58883443.0,0.0
871,2021-10-25,148.68,149.37,148.64,147.343230779146,50720556.0,0.0
872,2021-10-26,149.33,150.84,149.32,148.017298304239,60893395.0,0.0
873,2021-10-27,149.36,149.73,148.85,147.551398691307,56094929.0,0.0
874,2021-10-28,149.82,153.165,152.57,151.238944563874,100077888.0,0.0
875,2021-10-29,147.215,149.94,149.8,148.493110674892,124953168.0,0.0
876,2021-11-01,148.985,149.7,148.96,147.660439026248,73396551.0,0.0
877,2021-11-02,148.66,151.57,150.02,148.711191344776,68922374.0,0.0
878,2021-11-03,150.39,151.97,151.49,150.168366729903,54511534.0,0.0
879,2021-11-04,151.58,152.43,150.96,149.642990570639,60394616.0,0.0
880,2021-11-05,151.89,152.2,151.28,150.178279487625,65463883.0,0.22
881,2021-11-08,151.41,151.57,150.44,149.344396920401,55020868.0,0.0
882,2021-11-09,150.2,151.428,150.81,149.711702336916,56573449.0,0.0
883,2021-11-10,150.02,150.13,147.92,146.84274921873,65187092.0,0.0
884,2021-11-11,148.96,149.43,147.87,146.793113351633,40999950.0,0.0
885,2021-11-12,148.43,150.4,149.99,148.897674116531,63245197.0,0.0
886,2021-11-15,150.37,151.88,150.0,148.907601289951,59222803.0,0.0
887,2021-11-16,149.94,151.488,151.0,149.900318631884,59256210.0,0.0
888,2021-11-17,150.995,155.0,153.49,152.372184813297,88807000.0,0.0
889,2021-11-18,153.71,158.67,157.87,156.720286770963,137827673.0,0.0
890,2021-11-19,157.65,161.02,160.55,159.380769247344,117305597.0,0.0
891,2021-11-22,161.68,165.7,161.02,159.847346398052,117467889.0,0.0
892,2021-11-23,161.12,161.8,161.41,160.234506161406,96041899.0,0.0
893,2021-11-24,160.75,162.14,161.94,160.760646352631,69463623.0,0.0
894,2021-11-26,159.565,160.45,156.81,155.668006388514,76959752.0,0.0
895,2021-11-29,159.37,161.19,160.24,159.073026871345,88748217.0,0.0
896,2021-11-30,159.985,165.52,165.3,164.096176621526,174048056.0,0.0
897,2021-12-01,167.48,170.3,164.77,163.570036430301,152423003.0,0.0
898,2021-12-02,158.735,164.2,163.76,162.567391914949,136739174.0,0.0
899,2021-12-03,164.02,164.96,161.84,160.661374618437,118023116.0,0.0
900,2021-12-06,164.29,167.8799,165.32,164.116030968364,107496982.0,0.0
901,2021-12-07,169.08,171.58,171.18,169.933354592092,120405352.0,0.0
902,2021-12-08,172.125,175.96,175.08,173.80495222563,116998901.0,0.0
903,2021-12-09,174.91,176.75,174.56,173.288739207825,108923739.0,0.0
904,2021-12-10,175.205,179.63,179.45,178.143127009878,115402731.0,0.0
905,2021-12-13,181.115,182.13,175.74,174.460145671306,153237019.0,0.0
906,2021-12-14,175.25,177.74,174.33,173.060414219181,139380382.0,0.0
907,2021-12-15,175.11,179.5,179.3,177.994219408588,131063257.0,0.0
908,2021-12-16,179.28,181.14,172.26,171.005489321379,150185843.0,0.0
909,2021-12-17,169.93,173.47,171.14,169.893645898414,195923441.0,0.0
910,2021-12-20,168.28,170.58,169.75,168.513768793128,107499114.0,0.0
911,2021-12-21,171.555,173.2,172.99,171.73017298099,91185905.0,0.0
912,2021-12-22,173.04,175.86,175.64,174.360873937113,92135303.0,0.0
913,2021-12-23,175.85,176.8499,176.28,174.99621303595,68356567.0,0.0
914,2021-12-27,177.085,180.42,180.33,179.016718270779,74919582.0,0.0
915,2021-12-28,180.16,181.33,179.29,177.984292235168,79144339.0,0.0
916,2021-12-29,179.33,180.63,179.38,178.073636795942,62348931.0,0.0
917,2021-12-30,179.47,180.57,178.2,176.902230332461,59773014.0,0.0
918,2021-12-31,178.085,179.23,177.57,176.276818407044,61661433.0,0.0
919,2022-01-03,177.83,182.88,182.01,180.684483405226,104701220.0,0.0
920,2022-01-04,182.63,182.94,179.7,178.391306345361,99310438.0,0.0
921,2022-01-05,179.61,180.17,174.92,173.646117450921,94537602.0,0.0
922,2022-01-06,172.7,175.3,172.0,170.747382812477,96903955.0,0.0
923,2022-01-07,172.89,174.14,172.17,170.916144760605,86709147.0,0.0
924,2022-01-10,169.08,172.5,172.19,170.935999107444,106765552.0,0.0
925,2022-01-11,172.32,175.18,175.08,173.80495222563,75937685.0,0.0
926,2022-01-12,176.12,177.18,175.53,174.2516750295,74805173.0,0.0
927,2022-01-13,175.78,176.62,172.19,170.935999107444,84505760.0,0.0
928,2022-01-14,171.34,173.78,173.07,171.809590368345,80440780.0,0.0
929,2022-01-18,171.51,172.54,169.8,168.563404660224,90500236.0,0.0
930,2022-01-19,170.0,171.08,166.23,165.019403749523,92914792.0,0.0
931,2022-01-20,166.98,169.68,164.51,163.311929921399,91420515.0,0.0
932,2022-01-21,164.415,166.33,162.41,161.227223503339,122848858.0,0.0
